Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1770423667.6100721	1770423846.965207	179.35513496398926	0.0
2	1770423849.5415554	1770424036.3166323	186.7750768661499	2.576348304748535
3	1770424039.7931526	1770424227.3849478	187.59179520606995	3.476520299911499
4	1770424230.5473323	1770424417.8354099	187.28807759284973	3.162384510040283
5	1770424421.5860186	1770424599.3709419	177.78492331504822	3.7506086826324463
6	1770424602.5071237	1770424789.480195	186.97307133674622	3.1361818313598633
7	1770424792.6193166	1770424980.8604953	188.24117875099182	3.1391215324401855
8	1770424983.6030252	1770425171.1209667	187.51794147491455	2.74252986907959
9	1770425173.6843727	1770425361.9543486	188.26997590065002	2.563405990600586
10	1770425365.2133603	1770425552.8168461	187.6034858226776	3.259011745452881
11	1770425557.4902582	1770425744.8109598	187.3207015991211	4.673412084579468
12	1770425747.5847456	1770425935.0930116	187.50826597213745	2.7737858295440674
13	1770425938.327785	1770426126.158865	187.83107995986938	3.2347733974456787
14	1770426130.12687	1770426317.0021656	186.8752956390381	3.9680049419403076
15	1770426319.4232192	1770426507.8561242	188.43290495872498	2.421053647994995
16	1770426510.3290045	1770426697.8656144	187.53660988807678	2.4728803634643555
17	1770426700.6672463	1770426887.1742203	186.5069739818573	2.8016319274902344
18	1770426890.1510363	1770427076.9518843	186.80084800720215	2.976815938949585
19	1770427081.2691774	1770427267.9114666	186.64228916168213	4.317293167114258
20	1770427271.9154177	1770427458.0066328	186.091215133667	4.003951072692871
21	1770427461.535396	1770427648.593108	187.0577118396759	3.5287632942199707
22	1770427651.8635461	1770427839.4224243	187.55887818336487	3.2704381942749023
23	1770427842.4331632	1770428030.0258772	187.5927140712738	3.0107388496398926
24	1770428033.1570065	1770428222.25648	189.0994734764099	3.131129264831543
25	1770428226.939379	1770428409.6019795	182.66260051727295	4.682898998260498
26	1770428412.9165442	1770428599.5948107	186.67826652526855	3.3145647048950195
27	1770428603.7334447	1770428785.042102	181.30865740776062	4.138633966445923
28	1770428787.7823637	1770428971.6653411	183.88297748565674	2.7402615547180176
29	1770428974.9095762	1770429160.6966927	185.78711652755737	3.244235038757324
30	1770429165.172059	1770429352.422324	187.25026488304138	4.4753663539886475
31	1770429355.9888487	1770429540.837832	184.84898328781128	3.5665247440338135
32	1770429544.595313	1770429731.843948	187.24863481521606	3.757481098175049
33	1770429736.2478397	1770429925.267559	189.0197193622589	4.4038918018341064
34	1770429929.1595085	1770430117.731629	188.57212042808533	3.891949415206909
35	1770430122.158853	1770430310.0479155	187.88906240463257	4.427224159240723
36	1770430313.0881078	1770430500.7963328	187.70822501182556	3.0401923656463623
37	1770430504.2676663	1770430691.96075	187.69308376312256	3.4713335037231445
38	1770430695.3740146	1770430882.2630932	186.88907861709595	3.413264513015747
39	1770430885.2600322	1770431072.5601358	187.3001036643982	2.996938943862915
40	1770431076.850027	1770431268.4037964	191.55376935005188	4.289891242980957
41	1770431271.26027	1770431461.489131	190.22886085510254	2.856473684310913
42	1770431464.8259737	1770431654.9095037	190.08352994918823	3.3368427753448486
43	1770431658.3568947	1770431848.6656585	190.3087637424469	3.4473910331726074
44	1770431852.667854	1770432046.8063772	194.13852310180664	4.002195596694946
45	1770432050.8312294	1770432240.2453725	189.41414308547974	4.024852275848389
46	1770432243.207436	1770432431.1900365	187.98260045051575	2.9620635509490967
47	1770432434.299156	1770432621.8019726	187.5028166770935	3.109119415283203
48	1770432626.1403236	1770432813.8983672	187.75804352760315	4.338351011276245
49	1770432817.3126616	1770433005.2548141	187.9421525001526	3.414294481277466
50	1770433008.3866882	1770433195.9094474	187.52275919914246	3.1318740844726562
51	1770433200.223868	1770433387.7144625	187.49059462547302	4.314420461654663
52	1770433390.9134479	1770433577.463419	186.5499711036682	3.1989853382110596
53	1770433582.2348666	1770433769.4634151	187.22854852676392	4.771447658538818
54	1770433773.4763234	1770433956.0377696	182.56144618988037	4.012908220291138
55	1770433961.5085647	1770434148.5283098	187.01974511146545	5.470795154571533
56	1770434152.263407	1770434339.7312214	187.4678144454956	3.7350971698760986
57	1770434342.8434527	1770434527.840454	184.99700140953064	3.1122312545776367
58	1770434533.5111086	1770434720.4274094	186.9163007736206	5.670654535293579
59	1770434723.2260883	1770434909.7927573	186.56666898727417	2.7986788749694824
60	1770434913.2271025	1770435089.8784442	176.65134167671204	3.434345245361328
61	1770435092.6526628	1770435280.581737	187.92907428741455	2.7742185592651367
62	1770435283.5466146	1770435464.4009945	180.85437989234924	2.9648776054382324
63	1770435467.4222043	1770435651.2968564	183.8746521472931	3.021209716796875
64	1770435655.5045822	1770435838.5470245	183.04244232177734	4.207725763320923
65	1770435841.3368466	1770436022.4577246	181.1208779811859	2.7898221015930176
66	1770436025.353273	1770436206.1821465	180.82887363433838	2.8955483436584473
67	1770436209.1064756	1770436391.6668878	182.5604121685028	2.9243290424346924
68	1770436394.4238002	1770436576.328858	181.9050576686859	2.7569124698638916
69	1770436579.0229547	1770436765.1298285	186.10687375068665	2.694096803665161
70	1770436767.8363652	1770436947.137329	179.3009638786316	2.7065367698669434
71	1770436949.7409625	1770437137.6371806	187.89621806144714	2.603633403778076
72	1770437140.1296334	1770437327.4667327	187.33709931373596	2.49245285987854
73	1770437330.3439918	1770437517.2478843	186.90389251708984	2.8772590160369873
74	1770437519.8564224	1770437705.9666252	186.11020278930664	2.6085381507873535
75	1770437708.6522284	1770437891.0246627	182.3724343776703	2.685603141784668
76	1770437893.6453364	1770438080.1072757	186.46193933486938	2.620673656463623
