Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1788228340.4018877	1788228583.005946	242.60405826568604	0.0
2	1788228584.0096793	1788228845.4586542	261.4489748477936	1.0037333965301514
3	1788228846.4628766	1788229107.595695	261.1328184604645	1.0042223930358887
4	1788229108.5994627	1788229368.5820155	259.9825527667999	1.003767728805542
5	1788229369.5850017	1788229621.8343863	252.24938464164734	1.002986192703247
6	1788229622.8386745	1788229883.8490283	261.01035380363464	1.0042881965637207
7	1788229884.8519235	1788230144.8997715	260.0478479862213	1.0028951168060303
8	1788230145.9037135	1788230406.118624	260.21491050720215	1.0039420127868652
9	1788230407.1225677	1788230665.8322978	258.70973014831543	1.003943681716919
10	1788230666.8362412	1788230927.0452423	260.20900106430054	1.0039434432983398
